index,SPACER_cluster_out_of_gas,SPACER_expand_pob_undef,SPACER_inductive_level,SPACER_max_cluster_size,SPACER_max_cvx_reduced_dim,SPACER_max_depth,SPACER_max_query_lvl,SPACER_need_sage,SPACER_num_abstractions,SPACER_num_abstractions_failed,SPACER_num_abstractions_success,SPACER_num_active_lemmas,SPACER_num_cant_abstract,SPACER_num_ctp_blocked,SPACER_num_dim_reduction_success,SPACER_num_invariants,SPACER_num_is_invariant,SPACER_num_lemma_jumped,SPACER_num_lemmas,SPACER_num_mbp_failed,SPACER_num_merge_gen,SPACER_num_merge_gen_failed,SPACER_num_merge_gen_success,SPACER_num_no_over_approximate,SPACER_num_non_lin,SPACER_num_pobs,SPACER_num_propagations,SPACER_num_queries,SPACER_num_reach_queries,SPACER_num_refinements,SPACER_num_reuse_reach_facts,SPACER_num_sync_cvx_cls,SPACER_num_under_approximations,SPACER_pob_out_of_gas,SPACER_wide_attmpts,SPACER_wide_success,max_memory,memory,result,time,time_pool_solver_smt_total,time_pool_solver_smt_total_sat,time_pool_solver_smt_total_undef,time_spacer_ctp,time_spacer_init_rules,time_spacer_init_rules_pt_init,time_spacer_mbp,time_spacer_solve,time_spacer_solve_propagate,time_spacer_solve_pt_must_reachable,time_spacer_solve_reach,time_spacer_solve_reach_children,time_spacer_solve_reach_cluster,time_spacer_solve_reach_gen_bool_ind,time_spacer_solve_reach_gen_merge,time_spacer_solve_reach_gen_merge_cvx_cls,time_spacer_solve_reach_gen_wide,time_spacer_solve_reach_is_reach
chc-lia-0415.smt2,,,,,,2,2,,,,,4,,,,,2,,5,,,,,,,4,,4,2,,1,,,,,,78.56,34.86,unsat,0.12,0.05,0.00,,,0.01,0.01,0.00,0.05,0.00,,0.05,0.00,0.00,0.00,0.00,,0.00,0.00
chc-lia-0416.smt2,,,,,,,1,,,,,3,,,,3,2,,4,,,,,,,3,2,2,,,,,,,,,18.44,6.84,sat,0.02,0.00,0.00,,,0.00,0.00,0.00,0.01,0.00,,0.00,0.00,0.00,0.00,0.00,,0.00,
chc-lia-0417.smt2,,,,3,1,3,3,,,,,4,,3,,6,9,1,13,,1,3,,,,7,3,8,,,,,,,,,26.00,9.67,sat,0.05,0.01,0.01,,0.00,0.00,0.00,0.00,0.03,0.00,,0.02,0.00,0.00,0.00,0.00,0.00,0.00,
chc-lia-0418.smt2,,,,3,1,3,3,,,,,4,,3,,6,9,1,13,,1,3,,,,7,3,8,,,,,,,,,26.00,9.67,sat,0.05,0.01,0.01,,0.00,0.00,0.00,0.00,0.03,0.00,,0.02,0.00,0.00,0.00,0.00,0.00,0.00,
chc-lia-0419.smt2,,,,,,3,3,,,,,4,,3,,,7,,8,,,,,,,5,,7,3,,1,,,,,,33.44,8.44,unsat,0.04,0.01,0.00,,0.00,0.00,0.00,0.00,0.02,0.00,,0.01,0.00,0.00,0.00,0.00,,0.00,0.00
chc-lia-0420.smt2,,,,,,,1,,,,,2,,,,2,1,1,3,,,,,,,2,1,1,,,,,,,,,18.60,7.02,sat,0.02,0.00,0.00,,,0.00,0.00,0.00,0.01,0.00,,0.00,0.00,0.00,0.00,0.00,,0.00,
chc-lia-0421.smt2,,,,,,,1,,,,,2,,,,2,1,1,3,,,,,,,2,1,1,,,,,,,,,18.40,6.83,sat,0.02,0.00,0.00,,,0.00,0.00,0.00,0.01,0.00,,0.00,0.00,0.00,0.00,0.00,,0.00,
chc-lia-0422.smt2,,,,,,,1,,,,,2,,,,2,1,,3,,,,,,,2,1,1,,,,,,,,,18.80,6.91,sat,0.02,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,0.00,
chc-lia-0423.smt2,,,,,1,5,5,,,,,15,,11,2,18,67,6,38,,,,,,,15,24,32,,,,,,,,,34.48,16.46,sat,0.18,0.10,0.05,,0.00,0.00,0.00,0.00,0.15,0.03,,0.11,0.01,0.01,0.03,0.01,0.00,0.01,
chc-lia-0424.smt2,,,3,7,1,11,11,,9,5,4,35,,96,3,111,664,12,182,,1,,,,6,100,391,157,5,,5,,10,,,,155.16,88.71,sat,1.75,1.22,0.51,0.11,0.01,0.00,0.00,0.03,1.65,0.43,,1.18,0.07,0.14,0.41,0.07,0.00,0.07,0.01
chc-lia-0425.smt2,,2,16,14,4,16,16,5,17,17,,39,,43,20,23,468,5,132,,31,98,25,,,109,354,115,8,14,5,5,,,,,112.08,70.19,sat,1.46,0.97,0.43,0.00,0.01,0.00,0.00,0.02,1.41,0.32,,1.01,0.06,0.10,0.20,0.16,0.00,0.16,0.06
chc-lia-0426.smt2,,,,3,1,5,5,,5,,7,9,,4,2,8,48,,27,,2,3,,,,19,25,15,,1,,,,,,,28.64,13.50,sat,0.12,0.05,0.02,,0.00,0.00,0.00,0.00,0.10,0.02,,0.06,0.01,0.01,0.01,0.01,0.00,0.01,
chc-lia-0427.smt2,,,,4,1,6,6,,10,1,15,12,,13,5,12,101,,40,,5,2,4,,,34,54,23,,1,,,,,,,39.52,20.74,sat,0.21,0.11,0.05,0.00,0.00,0.00,0.00,0.00,0.19,0.04,,0.12,0.01,0.01,0.03,0.02,0.00,0.02,0.00
chc-lia-0428.smt2,,,,3,1,4,4,,2,,5,8,,3,2,8,19,2,21,,1,2,,,,15,7,13,,,,,,,5,,26.12,11.24,sat,0.08,0.04,0.02,,0.00,0.00,0.00,0.00,0.07,0.01,,0.05,0.00,0.01,0.01,0.01,0.00,0.01,
chc-lia-0429.smt2,,,1,,,2,2,,,,,4,,,,5,9,,8,,,,,,,7,6,7,,,,,,,,,19.64,7.62,sat,0.03,0.01,0.00,0.00,,0.00,0.00,0.00,0.02,0.00,,0.01,0.00,0.00,0.00,0.00,,0.00,0.00
chc-lia-0430.smt2,,,,,,3,3,,,,,6,,2,,10,16,4,17,,,,,,,9,8,13,,,,,,,2,2,27.28,12.87,sat,0.07,0.03,0.01,,0.00,0.00,0.00,0.00,0.05,0.01,,0.04,0.00,0.00,0.01,0.00,0.00,0.00,
chc-lia-0431.smt2,,,,,,3,3,,,,,6,,2,,10,16,4,17,,,,,,,8,8,13,,,,,,,2,1,25.72,11.34,sat,0.07,0.03,0.01,,0.00,0.00,0.00,0.00,0.05,0.01,,0.04,0.00,0.00,0.01,0.00,0.00,0.00,
chc-lia-0432.smt2,,,,,,,1,,,,,2,,,,2,1,,3,,,,,,,2,1,1,,,,,,,,,22.96,8.14,sat,0.02,0.00,0.00,,,0.00,0.00,0.00,0.01,0.00,,0.00,0.00,0.00,0.00,0.00,,0.00,
chc-lia-0433.smt2,,,,,,,1,,,,,2,,,,2,1,,3,,,,,,,2,1,1,,,,,,,,,22.92,8.13,sat,0.02,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,0.00,
chc-lia-0434.smt2,,,,,1,3,3,,,,,7,,4,,10,21,,18,,,,,,,8,11,14,,,,,,,,,31.48,13.01,sat,0.08,0.03,0.01,,0.00,0.00,0.00,0.00,0.06,0.01,,0.04,0.00,0.00,0.01,0.01,0.00,0.01,
chc-lia-0435.smt2,,,,,,2,2,,,,,3,,,,2,3,,5,,,,,,,2,1,2,,,,,,,,,22.88,8.18,sat,0.03,0.00,0.00,,,0.00,0.00,0.00,0.01,0.00,,0.00,0.00,0.00,0.00,0.00,,0.00,
chc-lia-0436.smt2,,,,,,2,2,,,,,3,,,,2,3,,5,,,,,,,2,1,2,,,,,,,,,22.88,8.18,sat,0.02,0.00,0.00,,,0.00,0.00,0.00,0.01,0.00,,0.00,0.00,0.00,0.00,0.00,,0.00,
chc-lia-0437.smt2,,,,,,3,3,,,,,8,,1,,4,14,,12,,,,,,,6,5,8,,,,,,,,,26.28,10.00,sat,0.04,0.01,0.01,,0.00,0.00,0.00,0.00,0.03,0.01,,0.02,0.00,0.00,0.00,0.00,,0.00,
chc-lia-0438.smt2,,,,,,,1,,,,,2,,,,2,1,,3,,,,,,,2,1,1,,,,,,,,,17.76,6.43,sat,0.01,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,0.00,
chc-lia-0439.smt2,,,3,5,1,4,4,,,,,9,,3,1,15,50,5,25,,,,,,3,15,36,13,,,,,7,,3,1,24.68,10.50,sat,0.09,0.03,0.02,0.00,0.00,0.00,0.00,0.00,0.07,0.01,,0.05,0.00,0.01,0.01,0.01,0.00,0.01,
chc-lia-0440.smt2,,,,,,4,4,,,,,14,,3,,,14,,18,,,,,,,12,,17,4,,1,,,,,,44.56,12.16,unsat,0.07,0.02,0.01,,0.00,0.00,0.00,0.00,0.04,0.00,,0.03,0.00,0.00,0.00,0.00,,0.00,0.00
chc-lia-lin-0000.smt2,,,,,,,1,,,,,3,,,,3,2,,4,,,,,,,3,2,2,,,,,,,,,18.16,6.47,sat,0.02,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,0.00,
chc-lia-lin-0001.smt2,,,,,,,1,,,,,2,,,,2,1,,3,,,,,,,2,1,1,,,,,,,,,17.80,6.43,sat,0.01,0.00,0.00,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,,0.00,
chc-lia-lin-0002.smt2,,,,,,2,2,,,,,3,,,,3,3,,6,,,,,,1,3,1,3,,,,,,,,,18.44,6.61,sat,0.02,0.00,0.00,,,0.00,0.00,0.00,0.01,0.00,,0.01,0.00,0.00,0.00,0.00,,0.00,
chc-lia-lin-0003.smt2,,,,,1,3,3,,,,,4,,2,2,11,7,2,16,,,,,,2,11,2,7,,,,,5,,6,2,21.16,8.21,sat,0.05,0.02,0.01,0.00,0.00,0.00,0.00,0.00,0.04,0.00,,0.03,0.00,0.00,0.00,0.01,0.00,0.01,
chc-lia-lin-0004.smt2,,,4,5,,4,4,,1,1,,9,,2,,12,41,2,23,,,,,,3,15,27,11,2,,2,,8,,,,22.60,9.75,sat,0.07,0.03,0.01,0.00,0.00,0.00,0.00,0.00,0.06,0.01,,0.04,0.00,0.01,0.01,0.00,,0.00,0.00
chc-lia-lin-0005.smt2,,128,,47,4,11,10,343,52,26,40,1248,6,504,95,14,4599,11,1433,,222,314,142,25,419,1632,1386,1174,185,10,173,440,337,4,309,46,,620.31,timeout,596.77,490.25,375.30,26.67,4.80,0.00,0.00,0.24,518.14,173.05,,345.05,2.87,9.75,165.60,55.76,0.00,55.76,10.19
chc-lia-lin-0006.smt2,,,,,,1,1,,,,,1,,,,1,,,1,,,,,,,1,,,,,,,,,,,13.36,5.13,sat,0.01,0.00,,,,0.00,0.00,,0.00,0.00,,0.00,,0.00,,,,,
chc-lia-lin-0007.smt2,,,20,17,1,20,20,,59,19,36,61,,139,24,45,686,11,233,,23,71,19,,,236,375,273,33,20,25,,,19,9,2,116.72,68.59,sat,2.19,1.41,0.76,,0.02,0.00,0.00,0.05,2.12,0.36,,1.67,0.12,0.18,0.38,0.21,0.00,0.21,0.09
chc-lia-lin-0008.smt2,,,,,,3,3,,,,,2,,2,1,5,7,2,10,,,,,,,5,2,6,,,,,,,2,1,20.72,7.92,sat,0.04,0.01,0.01,,0.00,0.00,0.00,0.00,0.03,0.00,,0.02,0.00,0.00,0.01,0.00,0.00,0.00,
chc-lia-lin-0009.smt2,,,,,,1,1,,,,,1,,,,1,,,1,,,,,,,1,,,,,,,,,,,13.32,5.16,sat,0.01,0.00,,,,0.00,0.00,,0.00,0.00,,0.00,,0.00,,,,,
chc-lia-lin-0010.smt2,,77,,48,4,24,23,134,122,60,88,1681,78,1844,188,650,15744,170,2105,,309,131,232,3,946,2145,9924,2103,326,99,278,283,336,35,203,42,,729.90,timeout,596.68,455.75,277.69,25.16,5.51,0.00,0.00,0.49,492.95,174.86,,317.97,4.36,13.12,152.27,34.17,0.00,34.17,9.86
chc-lia-lin-0011.smt2,,,,,,1,1,,,,,1,,,,1,,,1,,,,,,,1,,,,,,,,,,,13.40,5.25,sat,0.01,0.00,,,,0.00,0.00,,0.00,0.00,,0.00,,0.00,,,,,
chc-lia-lin-0012.smt2,,,,,,,1,,,,,2,,,,2,1,1,3,,,,,,,2,1,1,,,,,,,,,18.40,6.83,sat,0.02,0.00,0.00,,,0.00,0.00,0.00,0.01,0.00,,0.00,0.00,0.00,0.00,0.00,,0.00,
chc-lia-lin-0013.smt2,,,,,,4,4,,,,,9,,4,,7,20,,18,,,,,,,9,10,13,,,,,,,,,25.36,9.65,sat,0.06,0.02,0.01,,0.00,0.00,0.00,0.00,0.04,0.01,,0.02,0.00,0.00,0.00,0.00,,0.00,
chc-lia-lin-0014.smt2,,,,,,,1,,,,,2,,,,2,1,,3,,,,,,,2,1,1,,,,,,,,,18.88,6.99,sat,0.02,0.00,0.00,,,0.00,0.00,0.00,0.01,0.00,,0.00,0.00,0.00,0.00,0.00,,0.00,
chc-lia-lin-0015.smt2,,,,2,,11,11,,15,5,19,21,,12,,13,73,1,48,,,,,,,34,33,53,5,,5,,,5,,,32.76,15.47,sat,0.46,0.27,0.18,,0.00,0.00,0.00,0.01,0.40,0.04,,0.32,0.03,0.02,0.10,0.01,,0.01,0.01
chc-lia-lin-0016.smt2,,,6,4,3,12,12,2,17,,34,19,,31,2,33,97,7,81,,2,12,,,,96,35,93,,,,2,,7,2,,44.60,23.18,sat,0.59,0.33,0.22,0.00,0.00,0.00,0.00,0.02,0.56,0.03,,0.49,0.06,0.05,0.16,0.04,0.00,0.04,0.01
chc-lia-lin-0017.smt2,,,,,,2,2,,,,,7,,,,5,8,,9,,,,,,,5,5,6,,,,,,,,,28.92,10.45,sat,0.04,0.01,0.01,,,0.00,0.00,0.00,0.02,0.00,,0.02,0.00,0.00,0.01,0.00,,0.00,
chc-lia-lin-0018.smt2,,,,,,1,1,,,,,1,,,,1,,,1,,,,,,,1,,,,,,,,,,,14.04,5.54,sat,0.01,0.00,,,,0.00,0.00,,0.00,0.00,,0.00,,0.00,,,,,
chc-lia-lin-0019.smt2,,38,,126,4,27,26,167,5,4,1,1013,16,1177,37,497,10351,390,1345,,153,170,108,3,620,1000,5158,1070,84,37,73,234,251,1,120,65,,537.52,timeout,597.49,467.20,316.54,33.86,9.21,0.00,0.00,0.34,503.06,201.29,,301.63,3.20,11.11,179.64,24.76,0.00,24.76,4.17
chc-lia-lin-0020.smt2,,,,,,1,1,,,,,1,,,,1,,,2,,,,,,,1,,,,,,,,,,,17.72,6.42,sat,0.02,0.00,,,,0.00,0.00,,0.00,0.00,,0.00,,0.00,,,,,
chc-lia-lin-0021.smt2,,,,,,,1,,,,,2,,,,2,1,1,3,,,,,,,2,1,1,,,,,,,,,18.64,7.02,sat,0.03,0.01,0.00,,,0.00,0.00,0.00,0.01,0.00,,0.01,0.00,0.00,0.00,0.00,,0.00,
chc-lia-lin-0022.smt2,,,1,,1,4,4,,2,1,3,13,,6,3,19,40,4,35,,,,,,,20,10,30,,,,,,,9,1,32.72,15.45,sat,0.27,0.15,0.09,0.00,0.00,0.00,0.00,0.01,0.24,0.03,,0.19,0.02,0.02,0.04,0.03,0.00,0.03,0.00
chc-lia-lin-0023.smt2,,2,1,9,3,15,15,4,13,13,16,6,,61,8,46,195,11,82,,26,60,20,,,80,100,68,12,6,12,12,,,4,,46.04,23.31,sat,0.72,0.40,0.31,0.00,0.00,0.00,0.00,0.01,0.69,0.06,,0.56,0.03,0.06,0.10,0.13,0.00,0.13,0.05
chc-lia-lin-0024.smt2,,,5,4,2,9,9,,,,,11,,19,2,21,73,8,47,,4,17,,,,23,34,36,1,1,1,2,,,4,1,35.04,16.80,sat,0.25,0.12,0.07,0.00,0.00,0.00,0.00,0.01,0.23,0.02,,0.18,0.02,0.03,0.06,0.02,0.00,0.02,0.00
chc-lia-lin-0025.smt2,,,,,,3,3,,,,,9,,3,,1,12,,13,,,,,,,9,4,12,3,,1,,,,,,34.96,9.42,unsat,0.05,0.02,0.01,,0.00,0.00,0.00,0.00,0.03,0.00,,0.02,0.00,0.00,0.00,0.00,,0.00,0.00
chc-lia-lin-0026.smt2,,,,,,,1,,,,,2,,,,2,1,1,3,,,,,,,2,1,1,,,,,,,,,19.12,7.11,sat,0.02,0.00,0.00,,,0.00,0.00,0.00,0.01,0.00,,0.01,0.00,0.00,0.00,0.00,,0.00,
chc-lia-lin-0027.smt2,,,,,,2,2,,,,,3,,,,2,2,,5,,,,,,,2,,2,,,,,,,,,18.12,6.68,sat,0.02,0.00,0.00,,,0.00,0.00,0.00,0.01,0.00,,0.01,0.00,0.00,0.00,0.00,,0.00,
chc-lia-lin-0028.smt2,,,3,10,1,11,11,,12,,9,11,,33,1,38,104,3,73,,,,,,24,56,21,76,,,,,8,8,9,2,36.64,17.69,sat,0.59,0.31,0.20,0.01,0.00,0.00,0.00,0.02,0.56,0.05,,0.46,0.04,0.06,0.14,0.06,0.00,0.06,0.01
chc-lia-lin-0029.smt2,,6,11,4,1,11,11,,23,22,,15,,22,16,15,146,7,83,,3,22,,,,38,81,70,,29,,,,,,,32.80,16.44,sat,0.31,0.11,0.04,0.01,0.00,0.00,0.00,0.01,0.29,0.04,,0.21,0.02,0.04,0.00,0.05,0.00,0.05,0.01
chc-lia-lin-0030.smt2,,,,,,1,1,,,,,1,,,,,,,1,,,,,,,1,,,1,,1,,,,,,26.60,6.29,unsat,0.03,0.00,0.00,,,0.00,0.00,0.00,0.00,,,0.00,,0.00,,,,,
chc-lia-lin-0031.smt2,,,,,,,1,,,,,3,,,,3,2,,4,,,,,,,3,2,2,,,,,,,,,18.52,6.91,sat,0.02,0.00,0.00,,,0.00,0.00,0.00,0.01,0.00,,0.00,0.00,0.00,0.00,0.00,,0.00,
chc-lia-lin-0032.smt2,,,,,,2,2,,,,,3,,1,,2,4,,6,,,,,,,3,1,3,,,,,,,,,18.88,7.26,sat,0.04,0.01,0.00,,0.00,0.00,0.00,0.00,0.02,0.00,,0.01,0.00,0.00,0.00,0.00,,0.00,
chc-lia-lin-0033.smt2,,,,1,,7,6,,4,,2,7,,9,,,25,,20,,,,,,,15,5,16,,,,,,,,,,618.19,timeout,599.86,223.29,222.66,0.61,0.00,0.00,0.00,0.00,223.33,89.59,,133.73,0.01,0.00,0.28,0.00,,0.00,0.00
chc-lia-lin-0034.smt2,,,99,188,1,101,101,,1,,1,104,4949,5059,194,107,10640,22,5259,,20,5,19,,,118,5293,5155,,10,,,,,42,,670.04,473.34,sat,264.12,222.40,85.05,,0.43,0.00,0.00,1.03,263.77,59.90,,203.53,3.60,14.91,79.90,23.69,0.00,23.69,0.53
chc-lia-lin-0035.smt2,,,99,188,1,101,101,,1,,1,104,4949,5051,194,107,10685,,5259,,20,5,19,,,118,5338,5155,,10,,,,,42,,670.76,474.24,sat,255.92,214.47,80.55,,0.43,0.00,0.00,1.09,255.55,61.44,,193.77,3.58,14.78,77.70,22.60,0.00,22.60,0.40
chc-lia-lin-0036.smt2,,,,,,9,9,,,,,17,,26,,10,71,,44,,,,,,,9,23,34,,,,,,,,,26.80,13.00,sat,0.13,0.06,0.03,,0.00,0.00,0.00,0.00,0.12,0.01,,0.08,0.01,0.01,0.03,0.00,,0.00,
chc-lia-lin-0037.smt2,,,,,,4,4,,,,,14,,3,,,14,,18,,,,,,,12,,17,4,,1,,,,,,46.12,12.90,unsat,0.08,0.03,0.01,,0.00,0.01,0.00,0.00,0.05,0.00,,0.04,0.00,0.00,0.00,0.00,,0.00,0.00
chc-lia-lin-0038.smt2,,,,,,3,3,,,,,11,,4,,6,22,,16,,,,,,,8,9,12,,,,,,,,,23.56,9.69,sat,0.09,0.04,0.02,,0.00,0.00,0.00,0.00,0.07,0.01,,0.04,0.00,0.00,0.01,0.00,,0.00,
chc-lia-lin-0039.smt2,,,,1,,7,7,,5,4,,35,,15,,27,180,3,57,,,,,,,37,118,56,6,,4,,,1,,,45.80,25.13,sat,0.42,0.28,0.16,,0.00,0.00,0.00,0.01,0.38,0.10,,0.26,0.02,0.02,0.11,0.00,,0.00,0.01
chc-lia-lin-0040.smt2,,,,3,1,22,22,,5,4,,39,,133,1,37,441,8,170,,1,18,,,,45,168,154,5,,4,,,1,,,63.24,37.23,sat,0.88,0.55,0.33,,0.01,0.00,0.00,0.02,0.84,0.13,,0.64,0.05,0.07,0.27,0.01,0.00,0.01,0.01
chc-lia-lin-0041.smt2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.88,sat,0.00,,,,,0.00,,,,,,,,,,,,,
chc-lia-lin-0042.smt2,,,,1,,4,4,,,,,12,2,11,,8,37,,24,,,,,,,8,16,19,,,,,,,,,23.80,10.20,sat,0.09,0.04,0.02,,0.00,0.00,0.00,0.00,0.07,0.01,,0.05,0.00,0.01,0.01,0.00,,0.00,
chc-lia-lin-0043.smt2,,,,2,1,7,7,,7,7,,33,8,28,,,70,,68,,4,6,3,,,51,5,66,17,2,11,,,,1,,44.84,17.07,unsat,0.41,0.24,0.16,,0.00,0.00,0.00,0.01,0.38,0.02,,0.33,0.02,0.04,0.10,0.02,0.00,0.02,0.03
chc-lia-lin-0045.smt2,,152,,98,4,12,11,123,33,29,10,1367,18,393,94,274,4241,242,1581,,158,86,109,15,874,1588,1764,1395,149,16,138,189,218,1,179,27,,549.83,timeout,596.55,315.52,198.99,51.41,1.18,0.00,0.00,0.33,343.40,75.05,,268.30,2.37,11.39,145.57,26.84,0.00,26.84,5.74
chc-lia-lin-0046.smt2,,,,4,1,4,4,,,,,8,,5,2,19,37,10,33,,3,8,,,,20,20,25,,,,,,,,,30.36,14.43,sat,0.16,0.07,0.04,,0.00,0.00,0.00,0.00,0.13,0.01,,0.11,0.01,0.02,0.02,0.02,0.00,0.02,
chc-lia-lin-0047.smt2,,,,,,8,8,,,,,15,,27,,9,61,,38,,,,,,,12,14,29,,,,,,,,,24.00,10.96,sat,0.11,0.04,0.02,,0.00,0.00,0.00,0.00,0.09,0.01,,0.06,0.01,0.00,0.02,0.00,,0.00,
chc-lia-lin-0048.smt2,,,,,,9,9,,,,,15,,18,,6,60,,36,,,,,,,10,23,27,,,,,,,,,24.28,11.09,sat,0.11,0.04,0.02,,0.00,0.00,0.00,0.00,0.09,0.01,,0.05,0.01,0.00,0.02,0.00,,0.00,
chc-lia-lin-0049.smt2,,,,,,1,1,,,,,1,,,,,,,1,,,,,,,1,,,1,,1,,,,,,26.60,6.34,unsat,0.02,0.00,0.00,,,0.00,0.00,0.00,0.00,,,0.00,,0.00,,,,,
chc-lia-lin-0050.smt2,,,,3,1,17,17,,,,,47,,161,1,47,640,6,161,,4,17,,,,42,320,143,,2,,,,,3,1,100.64,62.90,sat,1.76,1.31,0.91,,0.01,0.00,0.00,0.02,1.70,0.33,,1.31,0.05,0.13,0.79,0.03,0.00,0.03,
chc-lia-lin-0051.smt2,,,,,,1,1,,,,,1,,,,,,,1,,,,,,,1,,,1,,1,,,,,,26.96,6.58,unsat,0.02,0.00,0.00,,,0.00,0.00,0.00,0.00,,,0.00,,0.00,,,,,
chc-lia-lin-0052.smt2,,,,,,1,1,,,,,1,,,,,,,1,,,,,,,1,,,1,,1,,,,,,26.92,6.54,unsat,0.02,0.00,0.00,,,0.00,0.00,0.00,0.00,,,0.00,,0.00,,,,,
chc-lia-lin-0053.smt2,,,,,,1,1,,,,,1,,,,,,,1,,,,,,,1,,,1,,1,,,,,,26.92,6.54,unsat,0.02,0.00,0.00,,,0.00,0.00,0.00,0.00,,,0.00,,0.00,,,,,
chc-lia-lin-0054.smt2,,,,1,1,6,6,,,,,7,3,13,,7,23,,24,,,,,,,7,,17,,,,,,,2,,29.68,11.93,sat,0.11,0.05,0.03,,0.00,0.00,0.00,0.00,0.09,0.01,,0.07,0.01,0.01,0.03,0.00,0.00,0.00,
chc-lia-lin-0055.smt2,,,,6,1,31,31,,14,7,,75,,314,13,45,963,18,292,,18,101,2,,,123,406,315,19,6,9,,,9,10,,133.00,81.26,sat,3.89,2.87,2.00,,0.02,0.00,0.00,0.05,3.81,0.62,,3.07,0.13,0.36,1.50,0.17,0.00,0.17,0.05
chc-lia-lin-0056.smt2,,,,,,7,7,,,,,19,,29,,13,50,,54,,,,,,,13,6,46,,,,,,,,,30.16,14.39,sat,0.22,0.12,0.07,,0.00,0.00,0.00,0.01,0.20,0.01,,0.16,0.02,0.01,0.05,0.00,,0.00,
chc-lia-lin-0057.smt2,,,,,,5,5,,,,,6,,5,,4,16,,15,,,,,,,5,4,10,,,,,,,,,24.88,9.23,sat,0.05,0.01,0.00,,0.00,0.00,0.00,0.00,0.03,0.00,,0.02,0.00,0.00,0.00,0.00,,0.00,
chc-lia-lin-0058.smt2,,281,,19,5,10,9,152,28,14,1,444,,168,80,109,1971,107,539,,198,1,89,10,,531,944,567,86,72,86,275,,,408,18,,498.10,timeout,598.81,472.37,211.12,112.24,0.30,0.00,0.00,0.27,512.25,87.94,,424.27,0.76,2.23,118.28,113.73,0.00,113.73,44.85
chc-lia-lin-0059.smt2,,334,,15,5,10,9,170,33,9,,456,,125,40,123,2115,12,539,,215,13,78,9,,545,1218,570,80,84,80,308,,,247,11,,457.45,timeout,598.39,433.33,157.13,113.24,0.23,0.00,0.00,0.29,547.02,76.88,,470.10,0.82,2.12,91.16,168.78,0.00,168.78,52.06
chc-lia-lin-0060.smt2,,,,,,2,2,,,,,4,,,,3,6,,6,,,,,,,3,3,3,,,,,,,,,23.68,8.51,sat,0.03,0.01,0.00,,0.00,0.00,0.00,0.00,0.01,0.00,,0.01,0.00,0.00,0.00,0.00,,0.00,
chc-lia-lin-0061.smt2,,,,,,27,27,,,,,45,,194,,42,708,1,217,,,,,,,31,271,191,,,,,,,,,66.88,42.09,sat,1.36,0.93,0.61,,0.01,0.00,0.00,0.02,1.32,0.27,,0.97,0.06,0.11,0.47,0.00,,0.00,
chc-lia-lin-0062.smt2,,,,,,16,16,,,,,28,,62,,17,179,,85,,,,,,,19,64,69,,,,,,,,,37.24,20.74,sat,0.36,0.21,0.13,,0.00,0.00,0.00,0.01,0.33,0.05,,0.24,0.02,0.02,0.11,0.00,,0.00,
chc-lia-lin-0063.smt2,,,11,3,1,12,12,,8,6,2,49,67,19,,35,316,10,146,,2,,,,,86,163,149,21,,17,,,,,,79.24,45.31,sat,1.69,1.22,0.59,0.16,0.01,0.00,0.00,0.03,1.63,0.28,,1.31,0.06,0.13,0.45,0.10,0.00,0.10,0.05
chc-lia-lin-0064.smt2,,899,,119,2,71,70,,3,,,589,3296,5683,29,132,30913,193,4722,,626,281,12,,,981,14341,6092,13,804,12,416,,86,254,6,,602.09,timeout,594.84,511.20,196.40,29.18,2.64,0.00,0.00,1.36,561.52,137.23,,423.91,4.73,16.70,74.52,37.15,0.00,37.15,11.13
chc-lia-lin-0065.smt2,,,,,,3,3,,,,,5,,3,,3,6,,9,,,,,,,3,,5,,,,,,,,,23.60,8.54,sat,0.04,0.01,0.00,,0.00,0.00,0.00,0.00,0.02,0.00,,0.01,0.00,0.00,0.00,0.00,,0.00,
chc-lia-lin-0066.smt2,,,,3,1,4,4,,3,3,,17,,9,,18,61,5,31,,,,,,,18,36,26,3,,3,,,,,,47.20,19.82,sat,0.17,0.08,0.04,,0.00,0.01,0.00,0.00,0.13,0.03,,0.10,0.01,0.01,0.02,0.01,0.00,0.01,0.00
chc-lia-lin-0067.smt2,,,,,,3,3,,,,,5,,3,,3,6,,9,,,,,,,3,,5,,,,,,,,,24.00,8.60,sat,0.04,0.01,0.00,,0.00,0.00,0.00,0.00,0.02,0.00,,0.01,0.00,0.00,0.00,0.00,,0.00,
